Jugador,Puesto,Equipo,Cotizacion,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,PCG,AcG,PrG,PCT,AcT,PrT,G,GJ,GP,GV,GR,GC,VF,VI,TA,TR,PE,PA
"Vargas, Roque",DEF,Aldosivi de MdP,1600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Buzzini, Mariano",VOL,Aldosivi de MdP,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Capurro, Alejandro",VOL,Aldosivi de MdP,3500000,5,0,6,5,6,6,6,6,0,0,6,3,5,3,5,11,57,5.18,12,62,5.17,0,0,0,0,0,0,0,0,2,0,0,0
"Fredes, Leonardo",VOL,Aldosivi de MdP,1400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galván, Jonatan",VOL,Aldosivi de MdP,2900000,4,3,6,5,3,3,0,0,0,5,3,0,0,0,-1,7,24,3.43,9,31,3.44,0,0,0,0,0,0,0,0,5,1,0,0
"Gargiulo, Juan Pablo",VOL,Aldosivi de MdP,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lamberti, Hernán",VOL,Aldosivi de MdP,3200000,6,6,5,3,6,6,5,6,3,7,6,4,3,4,0,12,58,4.83,14,70,5,0,0,0,0,0,0,0,0,5,0,0,0
"Muller, Miltón",VOL,Aldosivi de MdP,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rivero, Martín",VOL,Aldosivi de MdP,800,0,5,0,0,0,0,0,6,5,5,5,0,0,5,0,5,26,5.2,6,31,5.17,0,0,0,0,0,0,0,0,0,0,0,0
"Seccafién, Enrique",VOL,Aldosivi de MdP,3100000,5,5,4,6,5,0,0,0,0,5,3,3,0,0,0,6,26,4.33,8,36,4.5,0,0,0,0,0,0,0,0,2,0,0,0
"Toro, Brian",VOL,Aldosivi de MdP,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carranza, César",DEL,Aldosivi de MdP,3600000,6,5,2,5,0,0,0,0,0,0,0,3,0,0,0,3,10,3.33,5,21,4.2,0,0,0,0,0,0,0,0,2,0,0,0
"Dip, Daniel",DEL,Aldosivi de MdP,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ftacla, Diego",DEL,Aldosivi de MdP,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lagos, Diego",DEL,Aldosivi de MdP,3000000,0,5,0,0,0,5,17,5,2,12,0,0,6,3,3,8,53,6.63,9,58,6.44,1,1,0,1,0,0,2,0,3,0,0,0
"Lugüercio, Pablo",DEL,Aldosivi de MdP,3400000,2,5,5,5,6,8,5,15,5,5,12,3,7,5,4,13,85,6.54,15,92,6.13,3,3,0,1,0,0,1,0,3,0,0,0
"Martínez, Roger",DEL,Aldosivi de MdP,1800000,5,5,17,13,11,14,5,9,1,8,6,6,11,0,3,12,104,8.67,14,114,8.14,5,5,0,2,0,0,4,0,6,0,0,0
"Menseguez, Juan Carlos",DEL,Aldosivi de MdP,2800000,0,0,0,5,0,0,0,0,4,0,0,5,0,0,0,3,14,4.67,3,14,4.67,0,0,0,0,0,0,0,0,0,0,0,0
"Miracco, Nicolás",DEL,Aldosivi de MdP,2800000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0
"Rosales, Santiago",DEL,Aldosivi de MdP,400,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,1,0,0,0
"Sand, José Gustavo",DEL,Aldosivi de MdP,4000000,0,5,11,3,3,6,5,3,11,9,11,5,5,6,12,13,90,6.92,14,95,6.79,4,4,0,3,0,0,1,0,4,0,0,0
"Vildozo, Angel",DEL,Aldosivi de MdP,3000000,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,5,5,1,5,5,1,1,0,1,0,0,0,0,1,0,0,0
"Gabbarini, Adrián",ARQ,Argentinos Juniors,3600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Giovini, Sebastián",ARQ,Argentinos Juniors,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ojeda, Luis",ARQ,Argentinos Juniors,3000000,7,3,10,14,3,0,4,15,2,16,4,8,5,9,3,13,93,7.15,15,103,6.87,0,0,0,0,14,0,3,7,3,0,0,0
"Almandoz, Mariano",DEF,Argentinos Juniors,2400000,0,0,0,0,0,0,0,0,0,0,0,0,6,7,2,3,15,5,3,15,5,0,0,0,0,0,0,0,1,1,0,0,0
"Alvarez, Cristian",DEF,Argentinos Juniors,3400000,0,0,7,0,9,4,7,0,5,6,0,0,0,0,0,6,38,6.33,6,38,6.33,1,0,1,1,0,0,1,4,2,0,0,0
"Batista, Nicolás",DEF,Argentinos Juniors,3300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flores, Franco",DEF,Argentinos Juniors,2800000,8,0,0,0,0,3,5,8,5,8,5,2,0,5,2,9,43,4.78,10,51,5.1,0,0,0,0,0,0,0,5,2,1,0,0
"Freire, Nicolás",DEF,Argentinos Juniors,2600000,7,2,7,8,4,1,5,7,0,0,0,0,0,0,0,6,32,5.33,8,41,5.13,0,0,0,0,0,0,0,4,2,0,0,0
"Garré, Ezequiel",DEF,Argentinos Juniors,2500000,8,4,8,0,10,0,6,7,5,7,5,8,6,7,2,11,71,6.45,13,83,6.38,1,1,0,0,0,0,0,6,1,1,0,0
"Laso, Joaquín",DEF,Argentinos Juniors,1300000,0,0,0,0,0,0,0,0,0,0,6,0,6,5,-1,4,16,4,4,16,4,0,0,0,0,0,0,0,1,1,1,0,0
"Lemos, Juan Pablo",DEF,Argentinos Juniors,1700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Matricardi, Patricio",DEF,Argentinos Juniors,1500000,7,4,7,8,5,4,5,4,1,3,0,5,6,7,2,12,57,4.75,14,68,4.86,0,0,0,0,0,0,0,7,4,1,0,0
"Rodríguez, Lucas",DEF,Argentinos Juniors,2100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sabia, Juan Alberto",DEF,Argentinos Juniors,3400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Torrén, Miguel Angel",DEF,Argentinos Juniors,3500000,0,3,7,8,5,0,0,9,2,6,3,7,0,0,0,8,47,5.88,9,50,5.56,0,0,0,0,0,0,0,5,4,0,0,0
"Agüero, Emiliano",VOL,Argentinos Juniors,500,5,0,0,5,0,4,3,5,5,0,0,0,0,0,0,5,22,4.4,6,27,4.5,0,0,0,0,0,0,0,0,1,0,0,0
"Alaniz, Martín",VOL,Argentinos Juniors,500,4,5,0,0,0,0,5,0,0,5,5,4,0,0,0,4,19,4.75,6,28,4.67,0,0,0,0,0,0,0,0,0,0,0,0
"Basualdo, Germán",VOL,Argentinos Juniors,3000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cabral, Luciano",VOL,Argentinos Juniors,1300000,0,0,0,5,0,4,0,0,0,0,6,0,18,5,5,6,43,7.17,6,43,7.17,1,1,0,0,0,0,1,0,0,0,0,0
"Gallego, Federico",VOL,Argentinos Juniors,1200000,6,6,11,5,6,4,6,4,5,5,6,5,3,0,4,12,64,5.33,14,76,5.43,1,1,0,0,0,0,0,0,3,0,0,0
"García, Matías",VOL,Argentinos Juniors,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Giménez, Matías",VOL,Argentinos Juniors,3000000,0,0,0,5,0,3,0,0,0,0,0,0,0,5,0,3,13,4.33,3,13,4.33,0,0,0,0,0,0,0,0,0,0,0,0
"Ham, Ezequiel",VOL,Argentinos Juniors,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iñiguez, Gaspar",VOL,Argentinos Juniors,3000000,11,5,7,6,7,4,0,0,0,6,2,4,6,5,5,10,52,5.2,12,68,5.67,0,0,0,0,0,0,1,0,2,0,0,0
"Ledesma, Cristian",VOL,Argentinos Juniors,4500000,0,3,12,0,4,0,0,0,4,7,2,0,6,6,6,8,47,5.88,9,50,5.56,0,0,0,0,0,0,1,0,2,0,0,0
"Ramírez, Juan",VOL,Argentinos Juniors,3400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trovento, Emiliano",VOL,Argentinos Juniors,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zapata, Martín",VOL,Argentinos Juniors,3800000,0,0,0,0,0,0,6,4,0,0,0,3,0,0,0,3,13,4.33,3,13,4.33,0,0,0,0,0,0,0,0,2,0,0,0
"Cano, Lucas",DEL,Argentinos Juniors,3100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Castillejos, Gonzalo",DEL,Argentinos Juniors,3900000,4,3,0,0,0,4,0,0,0,0,0,10,0,4,5,4,23,5.75,6,30,5,0,0,0,0,0,0,1,0,0,0,0,0
"Franzoia, Andrés",DEL,Argentinos Juniors,3800000,9,3,5,4,10,0,0,6,4,5,0,0,0,0,4,7,38,5.43,9,50,5.56,2,2,0,0,0,0,0,0,0,0,0,0
"Lenis, Reinaldo",DEL,Argentinos Juniors,3300000,6,4,8,4,4,4,6,6,4,6,4,5,5,0,0,11,56,5.09,13,66,5.08,0,0,0,0,0,0,0,0,1,0,0,0
"Rinaldi, Lautaro",DEL,Argentinos Juniors,1500000,5,6,4,5,5,2,9,6,10,0,5,4,11,0,4,11,65,5.91,13,76,5.85,3,3,0,0,0,0,0,0,1,0,0,0
"Rodríguez, Jonathan",DEL,Argentinos Juniors,800,0,0,0,0,6,0,5,13,6,5,4,5,5,4,4,10,57,5.7,10,57,5.7,2,2,0,2,0,0,0,0,1,0,0,0
"Andrada, Esteban",ARQ,Arsenal FC,2500000,4,1,5,9,-1,0,0,0,9,2,4,3,5,14,6,10,56,5.6,12,61,5.08,0,0,0,0,12,0,1,4,2,0,0,0
"Limia, Oscar Alejandro",ARQ,Arsenal FC,3200000,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,3,7,2.33,3,7,2.33,0,0,0,0,7,0,0,0,0,0,0,0
"Marussi, Alan",ARQ,Arsenal FC,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
